player_id,player_name,team_id,team,position,height(in),weight(lbs),jersey_number,wingspan
201935,james harden,1610612745,HOU,SG,77,220,13,82.75
201939,stephen curry,1610612744,GSW,PG,75,185,30,75.5
201142,kevin durant,1610612760,OKC,SF,81,235,35,88.75
2544,lebron james,1610612739,CLE,SF,80,250,23,84.25
203081,damian lillard,1610612757,POR,PG,75,195,0,79.75
201566,russell westbrook,1610612760,OKC,PG,75,187,0,79.75
202331,paul george,1610612754,IND,SF,80,221,13,83.25
201942,demar derozan,1610612761,TOR,SG,79,216,10,81.0
202738,isaiah thomas,1610612738,BOS,PG,69,185,4,73.75
202691,klay thompson,1610612744,GSW,SG,79,205,11,81.0
202326,demarcus cousins,1610612758,SAC,C,83,270,15,89.75
202689,kemba walker,1610612766,CHA,PG,73,184,15,75.5
203952,andrew wiggins,1610612750,MIN,SF,80,197,22,
203468,cj mccollum,1610612757,POR,SG,75,197,3,78.25
200768,kyle lowry,1610612761,TOR,PG,72,205,7,
202330,gordon hayward,1610612762,UTA,SF,80,210,20,79.75
2546,carmelo anthony,1610612752,NYK,SF,80,230,7,84.0
202322,john wall,1610612764,WAS,PG,76,195,2,81.25
202695,kawhi leonard,1610612759,SAS,SF,79,225,2,87.0
1626157,karlanthony towns,1610612750,MIN,C,84,248,32,
201572,brook lopez,1610612751,BRK,C,84,265,11,89.5
202704,reggie jackson,1610612765,DET,PG,75,208,1,
203076,anthony davis,1610612740,NOP,C,82,220,23,89.5
101108,chris paul,1610612746,LAC,PG,72,175,3,76.25
203114,khris middleton,1610612749,MIL,SG,79,215,22,82.75
2548,dwyane wade,1610612748,MIA,SG,76,220,3,82.75
202710,jimmy butler,1610612741,CHI,SG,79,220,21,79.5
200794,paul millsap,1610612737,ATL,PF,80,253,4,85.5
1717,dirk nowitzki,1610612742,DAL,PF,84,245,41,
203507,giannis antetokounmpo,1610612749,MIL,PG,81,196,34,
200746,lamarcus aldridge,1610612759,SAS,PF,83,240,12,88.75
203083,andre drummond,1610612765,DET,C,84,270,0,90.25
201143,al horford,1610612737,ATL,C,82,250,15,84.75
201952,jeff teague,1610612737,ATL,PG,74,181,0,79.5
201567,kevin love,1610612739,CLE,PF,82,260,0,83.25
200755,jj redick,1610612746,LAC,SG,76,190,4,75.25
203903,jordan clarkson,1610612747,LAL,SG,77,186,6,80.0
203095,evan fournier,1610612753,ORL,SF,78,200,10,
202328,greg monroe,1610612749,MIL,C,83,250,15,86.25
200752,rudy gay,1610612758,SAC,SF,80,230,8,87.0
2200,pau gasol,1610612741,CHI,C,84,250,16,
202696,nikola vucevic,1610612753,ORL,C,84,240,9,88.5
203115,will barton,1610612743,DEN,SG,77,170,5,81.75
977,kobe bryant,1610612747,LAL,SF,78,205,24,
202340,avery bradley,1610612738,BOS,SG,74,180,0,79.25
203506,victor oladipo,1610612753,ORL,SG,76,213,5,81.25
203897,zach lavine,1610612750,MIN,SG,77,180,8,80.25
203918,rodney hood,1610612762,UTA,SG,80,201,5,80.5
203110,draymond green,1610612744,GSW,PF,79,230,23,85.25
202694,marcus morris,1610612765,DET,SF,81,235,13,82.0
201583,ryan anderson,1610612740,NOP,PF,82,240,33,
101145,monta ellis,1610612754,IND,SG,75,185,11,74.75
2037,jamal crawford,1610612746,LAC,SG,77,200,11,82.0
202699,tobias harris,1610612753,ORL,PF,80,226,12,83.0
202699,tobias harris,1610612765,DET,PF,80,226,34,83.0
203484,kentavious caldwellpope,1610612765,DET,SG,78,204,5,80.0
201152,thaddeus young,1610612751,BRK,PF,80,235,30,83.5
201950,jrue holiday,1610612740,NOP,PG,76,205,11,79.0
201565,derrick rose,1610612741,CHI,PG,75,190,1,80.0
203953,jabari parker,1610612749,MIL,PF,80,241,12,
1626156,dangelo russell,1610612747,LAL,PG,77,180,1,81.75
